Session,Sex,Class,Weight
1,F,ad,18
1,M,ad,11.2
2,M,ad,11
2,M,ad,11.5
1,F,ad,13
2,F,ad,13
1,M,ad,14.5
1,F,ad,16.5
2,F,ad,15.5
1,F,ad,15.3
2,F,ad,14.9
1,M,ad/j,10.4
1,F,ad/j,10
1,F,ad,11.5
2,F,ad,NA
2,F,j,6
1,M,j,6.5
2,M,j,7
2,F,j,5.5
2,F,j,7
1,F,j,9.4
2,F,j,10.5
1,F,ad,16.5
1,F,ad,11.5
1,F,ad,11.3
2,F,ad,11.5
1,F,ad,12.5
1,F,ad,13.5
2,M,j,6.5
1,F,ad,15.4
2,M,ad,10.3
2,M,ad,12.5
1,M,ad,12
1,M,ad,13
2,M,ad,NA
2,M,ad,15
1,M,ad,14.5
1,M,ad,13.5
1,M,ad,10.6
2,M,ad,10.1
2,M,Ad,10
1,M,ad,10.5
1,M,ad,10
1,M,ad,12
1,M,ad,11.3
1,F,j,6.3
2,M,j,7
2,F,ad,14
2,M,j,NA
2,F,j,7
2,F,ad,13.1
2,M,j,8
1,F,ad,13.2
2,F,ad,13.4
1,F,j,7
2,F,j,7.5
1,F,ad,19
1,M,ad,13.5
2,F,ad/j,9.3
1,F,ad/j,11
2,M,ad,11v
